age,height,haircolor,hair,eyecolor,gender,beard,body,worth
69,166,brown,short,blue,male,middle,normal,37
51,192,grey,middle,green,male,middle,normal,55
14,203,brown,long,brown,male,none,chubby,35
25,202,blonde,long,blue,male,large,chubby,51
53,195,red,short,brown,male,large,chubby,39
23,195,black,long,brown,male,small,muscle,47
43,182,red,middle,green,male,middle,chubby,49
38,205,red,long,brown,male,large,chubby,28
41,151,grey,short,grey,male,middle,normal,53
25,193,black,long,grey,male,middle,muscle,58
30,166,blonde,long,grey,male,middle,normal,59
59,162,blonde,short,brown,male,none,chubby,45
34,152,grey,long,blue,male,large,muscle,51
32,194,blonde,long,blue,male,none,muscle,55
27,194,red,short,green,male,small,chubby,46
39,181,black,short,brown,male,large,normal,54
66,205,red,short,grey,male,large,chubby,21
55,168,blonde,long,green,male,small,chubby,41
15,142,black,short,blue,male,large,muscle,58
36,142,blonde,long,brown,male,none,normal,40
33,191,red,long,blue,male,none,muscle,45
50,146,blonde,middle,blue,male,none,chubby,59
28,152,red,short,green,male,none,muscle,53
57,152,blonde,short,green,male,none,normal,53
32,200,blonde,short,green,male,none,normal,52
50,213,blonde,short,grey,male,large,muscle,53
61,179,blonde,long,green,male,large,chubby,31
33,201,grey,short,green,male,middle,muscle,55
20,156,blonde,long,green,male,none,muscle,60
46,156,blonde,middle,grey,male,none,chubby,48
37,197,red,long,brown,male,small,normal,25
63,156,blonde,short,brown,male,middle,chubby,29
64,198,grey,long,grey,male,small,muscle,20
55,161,brown,long,grey,male,none,normal,41
45,190,red,long,grey,male,large,chubby,35
56,149,blonde,long,grey,male,middle,normal,44
24,191,grey,short,green,male,none,normal,61
16,145,black,middle,brown,male,middle,chubby,50
29,144,red,short,brown,male,none,chubby,38
69,188,red,short,green,male,large,chubby,26
27,152,red,long,brown,male,none,muscle,44
31,184,black,long,green,male,none,normal,48
49,156,grey,middle,green,male,middle,chubby,50
18,199,red,long,blue,male,middle,muscle,52
31,202,red,short,brown,male,large,normal,40
16,156,grey,middle,grey,male,middle,normal,59
63,217,black,middle,brown,male,large,normal,26
66,147,brown,long,blue,male,none,muscle,27
46,212,black,long,blue,male,large,normal,42
51,195,black,middle,grey,male,small,normal,44
14,144,red,middle,green,male,none,chubby,39
15,218,blonde,long,green,male,middle,chubby,47
65,170,red,short,grey,male,none,muscle,30
35,187,grey,middle,green,male,none,chubby,50
23,140,grey,middle,brown,male,middle,muscle,58
51,190,brown,long,blue,male,small,muscle,45
17,144,grey,short,blue,male,none,muscle,58
55,206,black,long,blue,male,none,normal,39
52,210,black,long,grey,male,middle,normal,39
33,202,grey,short,blue,male,small,normal,45
46,174,grey,long,green,male,large,chubby,48
68,191,red,short,green,male,small,muscle,26
61,174,brown,long,brown,male,large,muscle,31
23,140,blonde,short,green,male,none,chubby,55
15,155,blonde,short,green,male,small,normal,54
26,180,brown,long,grey,male,middle,normal,63
49,176,grey,short,blue,male,small,muscle,58
47,206,grey,long,brown,male,large,chubby,32
63,158,black,short,green,male,none,chubby,27
53,207,grey,long,brown,male,none,chubby,29
22,146,black,middle,grey,male,middle,muscle,63
51,153,blonde,long,brown,male,none,normal,41
47,141,black,short,brown,male,none,normal,42
23,174,blonde,short,green,male,middle,muscle,78
37,166,blonde,long,green,male,small,normal,48
33,170,grey,middle,brown,male,large,normal,56
34,156,brown,middle,grey,male,small,normal,47
33,182,black,long,grey,male,middle,normal,50
31,219,blonde,short,green,male,none,muscle,55
27,181,red,middle,brown,male,small,muscle,51
51,213,blonde,long,green,male,small,chubby,32
31,181,blonde,short,brown,male,none,normal,56
63,154,red,short,grey,male,small,normal,22
30,173,red,long,green,male,small,normal,45
59,212,blonde,short,brown,male,middle,muscle,52
17,179,red,short,grey,male,large,chubby,55
47,141,red,short,green,male,middle,muscle,47
58,161,black,middle,brown,male,small,normal,40
56,152,black,long,brown,male,middle,muscle,44
61,185,black,long,blue,male,large,muscle,31
48,211,grey,long,brown,male,large,normal,36
53,181,grey,short,brown,male,small,chubby,40
29,155,brown,middle,green,male,middle,chubby,58
67,144,blonde,middle,grey,male,none,chubby,26
18,176,brown,middle,grey,male,large,muscle,74
49,219,brown,long,brown,male,none,normal,36
15,187,grey,short,grey,male,large,muscle,60
67,213,brown,long,green,male,middle,muscle,28
68,182,red,long,blue,male,middle,normal,27
29,143,brown,long,grey,male,none,muscle,47
57,154,brown,short,brown,male,none,chubby,43
58,220,grey,short,brown,male,none,chubby,37
44,143,red,middle,brown,male,middle,normal,41
36,207,blonde,long,green,male,none,chubby,40
65,191,black,middle,grey,male,large,chubby,28
19,215,black,long,brown,male,small,normal,40
47,190,grey,long,blue,male,large,chubby,44
23,216,red,short,green,male,small,normal,44
65,163,grey,short,brown,male,large,normal,28
36,212,brown,middle,blue,male,none,chubby,48
39,202,brown,long,brown,male,small,normal,33
28,169,grey,short,blue,male,none,chubby,59
45,140,grey,middle,brown,male,large,chubby,41
37,172,grey,short,brown,male,small,normal,49
24,177,black,short,green,male,middle,chubby,67
30,208,grey,middle,green,male,large,muscle,57
25,177,black,long,green,male,small,normal,54
64,214,brown,long,grey,male,middle,muscle,26
66,156,grey,long,blue,male,large,muscle,29
17,180,grey,short,blue,male,middle,chubby,67
37,169,grey,short,brown,male,none,muscle,56
16,146,grey,short,green,male,middle,normal,58
60,205,grey,long,green,male,none,muscle,24
54,167,black,middle,brown,male,middle,normal,54
49,152,brown,middle,grey,male,none,normal,50
28,171,grey,middle,blue,male,small,normal,59
27,195,brown,short,brown,male,large,chubby,57
26,169,grey,long,grey,male,small,muscle,52
34,204,brown,middle,blue,male,large,chubby,50
45,185,black,short,brown,male,large,muscle,56
21,165,red,long,blue,male,middle,chubby,54
64,172,blonde,long,grey,male,large,chubby,28
65,176,black,short,grey,male,small,muscle,32
18,164,red,short,grey,male,small,chubby,44
28,149,black,long,grey,male,small,chubby,34
46,157,brown,long,brown,male,none,muscle,43
20,207,red,short,green,male,large,chubby,49
44,149,red,middle,green,male,large,normal,44
21,170,grey,short,grey,male,small,chubby,56
65,200,blonde,long,green,male,large,normal,26
49,158,black,short,brown,male,none,muscle,49
14,198,grey,short,green,male,middle,chubby,49
26,208,red,middle,grey,male,middle,muscle,54
59,196,brown,short,green,male,middle,muscle,54
41,209,red,long,green,male,none,normal,33
28,159,red,long,brown,male,small,chubby,29
20,153,brown,middle,grey,male,small,normal,56
62,174,brown,long,green,male,large,normal,32
62,179,black,middle,blue,male,none,normal,35
19,147,black,middle,brown,male,none,chubby,50
48,205,black,long,brown,male,middle,chubby,34
24,178,blonde,middle,blue,male,large,chubby,81
48,191,red,long,brown,male,none,muscle,37
41,180,blonde,short,green,male,none,chubby,59
20,150,brown,long,brown,male,large,muscle,56
26,202,red,long,brown,male,large,muscle,42
23,218,red,middle,blue,male,large,muscle,56
40,180,blonde,short,green,male,small,muscle,62
64,155,blonde,short,blue,male,small,muscle,32
43,152,grey,short,blue,male,middle,chubby,53
18,173,brown,short,green,male,none,muscle,74
17,154,grey,short,grey,male,small,normal,50
23,212,blonde,middle,green,male,small,normal,54
23,200,brown,middle,green,male,middle,normal,61
16,203,brown,middle,green,male,none,normal,55
60,181,blonde,middle,blue,male,middle,muscle,46
25,174,red,long,grey,male,large,muscle,56
50,163,brown,long,brown,male,middle,muscle,47
29,199,blonde,short,brown,male,small,normal,47
46,144,black,short,blue,male,none,normal,48
43,220,brown,short,green,male,none,muscle,52
57,188,black,short,grey,male,small,normal,44
37,207,brown,middle,grey,male,none,chubby,44
43,215,brown,long,brown,male,large,normal,39
56,203,grey,short,brown,male,none,chubby,37
48,159,blonde,long,blue,male,none,normal,48
42,187,red,short,blue,male,middle,muscle,56
32,203,black,long,green,male,middle,muscle,47
54,167,grey,middle,green,male,small,muscle,52
17,150,grey,long,blue,male,none,normal,51
66,204,blonde,short,blue,male,middle,chubby,31
29,187,grey,short,green,male,middle,chubby,58
46,162,blonde,short,grey,male,small,chubby,43
63,162,blonde,short,green,male,middle,normal,34
65,217,grey,middle,blue,male,small,chubby,23
22,217,blonde,long,green,male,none,chubby,49
43,205,red,long,brown,male,middle,normal,33
18,194,brown,short,blue,male,middle,muscle,74
65,165,blonde,middle,blue,male,large,muscle,45
36,185,red,middle,grey,male,large,normal,50
19,181,red,middle,blue,male,small,chubby,52
29,205,red,middle,green,male,small,muscle,44
24,155,black,long,blue,male,middle,muscle,60
65,191,grey,middle,grey,male,small,muscle,28
38,216,black,short,blue,male,middle,muscle,57
42,167,brown,middle,grey,male,middle,normal,60
34,166,black,long,green,male,none,muscle,52
40,208,grey,short,brown,male,middle,normal,48
42,171,grey,middle,green,male,small,normal,52
22,186,brown,long,brown,male,none,muscle,56
65,204,black,short,blue,male,middle,muscle,32
64,214,brown,short,brown,male,none,normal,26
50,216,black,short,green,male,small,chubby,37
19,155,brown,long,blue,male,middle,chubby,57
22,198,brown,short,blue,male,large,muscle,66
42,154,black,long,brown,male,small,chubby,30
60,151,grey,middle,blue,male,small,normal,28
27,183,brown,long,brown,male,none,normal,53
15,207,brown,middle,green,male,small,normal,48
31,143,grey,long,green,male,large,chubby,38
47,173,red,short,green,male,middle,normal,56
47,205,blonde,short,blue,male,middle,muscle,59
33,181,red,long,blue,male,large,normal,46
40,159,blonde,short,brown,male,none,normal,52
67,194,red,short,grey,male,none,muscle,28
26,145,red,long,brown,male,none,normal,38
70,209,red,middle,blue,male,none,chubby,22
39,169,red,middle,green,male,none,muscle,54
62,195,blonde,long,grey,male,large,chubby,26
50,153,brown,short,grey,male,none,muscle,53
68,168,red,middle,grey,male,none,muscle,29
66,175,grey,middle,green,male,small,muscle,33
49,160,brown,long,brown,male,small,muscle,38
24,155,black,long,brown,male,large,chubby,45
51,191,brown,short,blue,male,none,normal,55
58,181,brown,long,green,male,small,normal,42
58,163,blonde,long,green,male,small,chubby,36
35,161,black,middle,blue,male,large,normal,56
28,166,blonde,middle,grey,male,none,chubby,59
40,142,blonde,middle,green,male,none,chubby,48
70,178,blonde,short,brown,male,none,muscle,36
68,155,blonde,long,grey,male,middle,muscle,30
36,217,blonde,short,grey,male,none,muscle,53
59,168,blonde,middle,brown,male,small,chubby,45
46,200,blonde,long,grey,male,small,chubby,31
55,210,grey,long,green,male,middle,chubby,37
48,159,brown,long,brown,male,large,normal,42
33,155,grey,long,blue,male,middle,chubby,46
58,209,black,long,blue,male,large,chubby,37
18,160,black,short,grey,male,middle,muscle,66
38,175,grey,long,grey,male,none,chubby,46
50,185,blonde,long,grey,male,middle,chubby,48
50,167,red,long,grey,male,large,normal,41
21,162,brown,middle,green,male,middle,muscle,70
69,159,black,middle,green,male,none,normal,29
65,199,grey,short,blue,male,small,chubby,23
52,189,grey,long,grey,male,middle,muscle,48
33,217,black,middle,grey,male,large,chubby,44
67,207,grey,short,grey,male,middle,muscle,30
26,205,red,long,green,male,none,chubby,37
16,201,grey,short,green,male,none,normal,53
45,217,red,long,grey,male,large,muscle,36
45,178,blonde,middle,grey,male,none,normal,61
31,182,black,middle,grey,male,large,muscle,59
30,182,blonde,short,grey,male,small,chubby,53
52,167,brown,long,green,male,small,normal,43
59,159,brown,long,green,male,large,muscle,48
17,159,blonde,middle,brown,male,small,muscle,55
40,157,red,short,brown,male,none,chubby,38
67,151,red,short,brown,male,small,muscle,22
43,162,red,short,blue,male,large,chubby,45
49,205,brown,long,brown,male,small,chubby,27
21,167,brown,short,grey,male,large,chubby,64
65,181,brown,middle,blue,male,small,muscle,33
23,155,grey,middle,blue,male,none,normal,61
44,149,brown,long,brown,male,large,chubby,36
59,212,red,middle,blue,male,none,chubby,37
56,149,black,long,grey,male,small,muscle,34
18,159,grey,short,grey,male,middle,muscle,66
14,168,red,middle,grey,male,none,muscle,53
21,176,grey,short,green,male,middle,chubby,69
47,172,blonde,short,green,male,none,chubby,56
57,201,black,long,blue,male,large,normal,41
57,188,red,short,brown,male,small,chubby,32
40,210,red,short,grey,male,small,chubby,31
40,193,grey,middle,grey,male,small,normal,47
60,199,brown,long,grey,male,none,muscle,24
22,192,brown,long,grey,male,large,muscle,60
36,173,brown,middle,blue,male,large,muscle,69
50,166,black,long,grey,male,none,normal,45
60,200,blonde,short,grey,male,small,muscle,27
18,217,brown,short,grey,male,none,muscle,60
39,162,red,middle,green,male,small,muscle,44
55,175,blonde,long,blue,male,none,normal,55
48,159,blonde,long,blue,male,none,normal,48
55,169,grey,middle,brown,male,middle,chubby,50
70,164,red,middle,blue,male,none,chubby,25
63,168,red,long,blue,male,small,muscle,24
67,210,blonde,middle,blue,male,small,chubby,31
15,145,blonde,middle,green,male,large,chubby,54
19,206,red,long,blue,male,large,chubby,43
24,179,red,short,blue,male,small,muscle,61
27,199,red,middle,green,male,large,normal,51
67,204,black,long,blue,male,middle,muscle,28
62,156,grey,long,brown,male,middle,chubby,22
55,175,blonde,short,blue,male,none,normal,63
32,174,brown,middle,blue,male,small,muscle,62
30,205,grey,middle,grey,male,middle,muscle,57
52,149,brown,short,grey,male,middle,muscle,53
44,195,blonde,middle,blue,male,small,muscle,67
29,172,blonde,short,grey,male,large,chubby,62
49,157,grey,long,brown,male,middle,normal,42
20,193,red,short,grey,male,middle,chubby,55
32,180,brown,middle,brown,male,middle,chubby,58
40,172,black,short,blue,male,none,normal,60
67,181,red,middle,grey,male,none,normal,27
60,158,grey,middle,brown,male,middle,normal,29
55,195,grey,middle,brown,male,none,normal,47
58,180,grey,middle,blue,male,large,chubby,57
58,204,grey,long,green,male,middle,normal,41
46,153,black,long,brown,male,large,chubby,36
33,147,red,short,grey,male,middle,normal,45
28,198,brown,middle,blue,male,large,chubby,54
44,172,black,middle,brown,male,middle,normal,57
19,212,blonde,short,grey,male,large,muscle,64
52,165,black,long,grey,male,small,muscle,42
38,147,black,middle,brown,male,middle,chubby,45
30,213,red,long,green,male,middle,normal,42
18,208,grey,long,grey,male,large,normal,49
38,153,brown,short,grey,male,middle,chubby,52
22,162,red,long,green,male,none,muscle,50
19,147,grey,middle,green,male,none,chubby,54
46,199,red,middle,brown,male,none,muscle,39
15,212,brown,middle,brown,male,none,normal,49
18,217,blonde,long,brown,male,small,normal,44
42,166,brown,middle,blue,male,large,muscle,65
53,211,red,short,grey,male,large,muscle,42
58,167,brown,middle,brown,male,middle,normal,56
47,165,red,middle,grey,male,large,muscle,52
63,161,brown,long,blue,male,middle,normal,29
27,160,blonde,long,brown,male,small,normal,46
25,207,grey,middle,blue,male,middle,muscle,64
62,208,grey,long,grey,male,large,normal,22
39,152,brown,long,blue,male,none,muscle,51
45,192,brown,middle,green,male,small,chubby,46
44,172,blonde,short,green,male,small,chubby,52
24,174,brown,short,grey,male,none,normal,67
24,145,blonde,short,grey,male,middle,muscle,65
40,191,brown,long,brown,male,middle,normal,48
66,142,black,short,grey,male,small,normal,23
25,166,grey,middle,brown,male,middle,chubby,60
20,151,blonde,short,brown,male,none,muscle,64
66,149,black,middle,blue,male,small,muscle,28
46,151,black,long,brown,male,middle,normal,42
42,140,black,short,brown,male,large,normal,45
60,184,brown,short,blue,male,middle,chubby,34
47,160,grey,middle,green,male,none,chubby,46
37,194,brown,long,brown,male,small,muscle,42
25,151,brown,short,green,male,large,muscle,66
67,159,black,short,blue,male,middle,chubby,31
34,212,blonde,long,green,male,none,chubby,40
34,180,red,middle,grey,male,middle,muscle,59
52,186,brown,middle,grey,male,small,normal,46
36,151,grey,middle,blue,male,middle,chubby,54
30,145,brown,long,brown,male,small,chubby,34
21,164,black,long,grey,male,small,muscle,49
19,209,black,short,blue,male,large,chubby,57
17,202,black,long,brown,male,large,muscle,46
25,188,brown,middle,brown,male,small,muscle,57
69,147,grey,long,brown,male,middle,chubby,20
